name	depth	num_bases_at_depth	size_of_feature	pros_of_A_at_depth
all	796	755	971256	7.773e-4
all	797	789	971256	8.124e-4
all	798	581	971256	5.982e-4
all	799	673	971256	6.929e-4
all	800	717	971256	0.00073820000000000005
all	801	647	971256	6.661e-4
all	802	585	971256	6.023e-4
all	803	582	971256	5.992e-4
all	804	594	971256	6.116e-4
all	805	711	971256	7.32e-4
all	806	688	971256	7.084e-4
all	807	733	971256	7.547e-4
all	808	678	971256	6.981e-4
all	809	868	971256	8.937e-4
all	810	676	971256	6.96e-4
all	811	641	971256	6.6e-4
all	812	823	971256	8.474e-4
all	813	837	971256	8.618e-4
all	814	642	971256	6.61e-4
all	815	726	971256	7.475e-4
all	816	553	971256	5.694e-4
all	817	907	971256	9.338e-4
all	818	774	971256	7.969e-4
all	819	609	971256	6.27e-4
all	820	729	971256	7.506e-4
all	821	535	971256	5.508e-4
all	822	610	971256	6.281e-4
all	823	493	971256	5.076e-4
all	824	628	971256	6.466e-4
all	825	649	971256	6.682e-4
all	826	617	971256	6.353e-4
all	827	566	971256	5.828e-4
all	828	644	971256	6.631e-4
all	829	680	971256	7.001e-4
all	830	637	971256	6.559e-4
all	831	522	971256	5.374e-4
all	832	599	971256	6.167e-4
all	833	662	971256	6.816e-4
all	834	894	971256	9.205e-4
all	835	704	971256	7.248e-4
all	836	729	971256	7.506e-4
all	837	835	971256	8.597e-4
all	838	711	971256	7.32e-4
all	839	569	971256	5.858e-4
all	840	782	971256	8.051e-4
all	841	437	971256	4.499e-4
all	842	798	971256	8.216e-4
all	843	735	971256	7.568e-4
all	844	651	971256	6.703e-4
all	845	636	971256	6.548e-4
all	846	722	971256	7.434e-4
all	847	989	971256	0.0010183
all	848	713	971256	7.341e-4
all	849	738	971256	7.598e-4
all	850	579	971256	5.961e-4
all	851	550	971256	5.663e-4
all	852	602	971256	6.198e-4
all	853	676	971256	6.96e-4
all	854	533	971256	5.488e-4
all	855	637	971256	6.559e-4
all	856	489	971256	5.035e-4
all	857	688	971256	7.084e-4
all	858	443	971256	4.561e-4
all	859	506	971256	5.21e-4
all	860	469	971256	4.829e-4
all	861	567	971256	5.838e-4
all	862	568	971256	5.848e-4
all	863	529	971256	5.447e-4
all	864	443	971256	4.561e-4
all	865	580	971256	5.972e-4
all	866	439	971256	4.52e-4
all	867	387	971256	3.985e-4
all	868	574	971256	5.91e-4
all	869	504	971256	5.189e-4
